Service Name,Physical Address Line 1,Physical Address Line 2,Physical Address Suburb,Physical Address State,Physical Address Post Code,2018 Aged Care Planning Region (ACPR),Care Type,Residential Places,Home Care Places,Restorative Care Places,Provider Name,Organisation Type,ABS Remoteness,Latitude,Longitude,2018-19 Australian Government Funding
Annecto Orana Far West Level 1,161-163 Langtree Avenue,,MILDURA,VIC,3502,Loddon-Mallee,Home Care,,,,annecto Inc,Charitable,Outer Regional Australia,-34.1882549,142.1562233," $36,577 "
Annecto Orana Far West Level 2,161-163 Langtree Avenue,,MILDURA,VIC,3052,Loddon-Mallee,Home Care,,,,annecto Inc,Charitable,Outer Regional Australia,-34.1882549,142.1562233," $266,679 "
Annecto Orana Far West Level 3,161-163 Langtree Avenue,,MILDURA,VIC,3502,Loddon-Mallee,Home Care,,,,annecto Inc,Charitable,Outer Regional Australia,-34.1882549,142.1562233," $367,616 "
Annecto HCP Program Southern Region - Level 1,41-43 Ringwood Street,,RINGWOOD,VIC,3134,Eastern Metro,Home Care,,,,annecto Inc,Charitable,Major Cities of Australia,-37.812089,145.227127," $11,058 "
Annecto HCP Program Southern Region - Level 3,41-43 Ringwood Street,,RINGWOOD,VIC,3134,Eastern Metro,Home Care,,,,annecto Inc,Charitable,Major Cities of Australia,-37.812089,145.227127," $300,423 "
SCC (VIC) - Loddon Mallee HCP2,1 Dunlop Street,,SHEPPARTON,VIC,3630,Hume,Home Care,,,,Southern Cross Care (VIC),Religious,Inner Regional Australia,-36.362197,145.404367, $396
SCC (VIC) - Loddon Mallee HCP3,1 Dunlop Street,,SHEPPARTON,VIC,3630,Hume,Home Care,,,,Southern Cross Care (VIC),Religious,Inner Regional Australia,-36.362197,145.404367, n.a.
SCC (VIC) - Loddon Mallee HCP4,1 Dunlop Street,,SHEPPARTON,VIC,3630,Hume,Home Care,,,,Southern Cross Care (VIC),Religious,Inner Regional Australia,-36.362197,145.404367, n.a.
SCC (VIC) - Grampians HCP3,102 Charlesworth Street,,BALLARAT EAST,VIC,3350,Grampians,Home Care,,,,Southern Cross Care (VIC),Religious,Inner Regional Australia,-37.563158,143.887523, $44
SCC (VIC) - Hume HCP3,1 Dunlop Street,,SHEPPARTON,VIC,3630,Hume,Home Care,,,,Southern Cross Care (VIC),Religious,Inner Regional Australia,-36.362197,145.404367, n.a.
SCC (VIC) - Western HCP4,669 The Boulevard,,EAGLEMONT,VIC,3084,Northern Metro,Home Care,,,,Southern Cross Care (VIC),Religious,Major Cities of Australia,-37.76162,145.072144, n.a.
SCC (VIC) - Barwon HCP1,"Suite 7, 267 Ryrie Street",,GEELONG,VIC,3220,Barwon-South Western,Home Care,,,,Southern Cross Care (VIC),Religious,Major Cities of Australia,-38.1502697,144.3647487, n.a.
SCC (VIC) - Northern HCP3,677 The Boulevard,,EAGLEMONT,VIC,3084,Northern Metro,Home Care,,,,Southern Cross Care (VIC),Religious,Major Cities of Australia,-37.76068,145.070648, $600
Royal Freemasons - Ballarat,124 Spencer Street,,CANADIAN,VIC,3350,Grampians,Residential,65,,,Royal Freemasons Ltd,Charitable,Inner Regional Australia,-37.577013,143.882352," $2,545,721 "
Warrina Aged Care,176 Station Road,,NEW GISBORNE,VIC,3438,Loddon-Mallee,Residential,46,,,Jamia Healthcare Pty Ltd,Private Incorporated Body,Inner Regional Australia,-37.46880504,144.5961577," $3,009,016 "
Royal Freemasons Benalla,40-48 Cowan Street,,BENALLA,VIC,3672,Hume,Residential,120,,,Royal Freemasons Ltd,Charitable,Inner Regional Australia,-36.564998,145.9744666," $405,664 "
Royal Freemasons Moe,1 C Haigh Street,,MOE,VIC,3825,Gippsland,Residential,144,,,Royal Freemasons Ltd,Charitable,Inner Regional Australia,-38.17408,146.26964," $2,577,372 "
annecto HCP Program - Grampians Region,215 Sydney Road,,COBURG,VIC,3058,Northern Metro,Home Care,,,,annecto Inc,Charitable,Major Cities of Australia,-37.749184,144.96502," $385,715 "
Latrobe Home Care Packages - Gippsland,81 Buckley Street,,MORWELL,VIC,3840,Gippsland,Home Care,,,,Latrobe Community Health Service,State Government,Inner Regional Australia,-38.2358326,146.4000861," $73,879 "
Monash Health Community Aged Care Packages,55 Buckingham Avenue,,SPRINGVALE,VIC,3171,Southern Metro,Home Care,,,,Monash Health,State Government,Major Cities of Australia,-37.952964,145.150996," $3,762,343 "
Home Care Packages,"Level C1, Building C",1-13 The Gateway -,BROADMEADOWS,VIC,3047,Northern Metro,Home Care,,,,Victorian Arabic Social Services Inc.,Community Based,Major Cities of Australia,-37.68934091,144.9524957," $897,279 "
EGHS at Home,5 Girdlestone Street,,ARARAT,VIC,3377,Grampians,Home Care,,,,East Grampians Health Service,State Government,Inner Regional Australia,-37.27906518,142.9300974," $599,116 "
Grampians & Loddon-Mallee Housing and Support,68 Albert Street,,CRESWICK,VIC,3363,Grampians,Home Care,,,,Wintringham,Charitable,Inner Regional Australia,-37.423916,143.8950636," $1,221,268 "
Brotherhood Community Care - NorthWest,67 Brunswick Street,,FITZROY,VIC,3065,Northern Metro,Home Care,,,,Brotherhood of St Laurence,Religious,Major Cities of Australia,-37.80526175,144.9770844," $931,752 "
Brotherhood Community Care - Southern,2 Overton Road,,FRANKSTON,VIC,3199,Southern Metro,Home Care,,,,Brotherhood of St Laurence,Religious,Major Cities of Australia,-38.129834,145.12572," $1,990,077 "
Brotherhood Community Care - North West,67 Brunswick Street,,FITZROY,VIC,3065,Northern Metro,Home Care,,,,Brotherhood of St Laurence,Religious,Major Cities of Australia,-37.80526175,144.9770844," $1,116,984 "
MiCare Home Care services NMR,233 Sydney Road,,BRUNSWICK,VIC,3056,Northern Metro,Home Care,,,,MiCare Ltd,Community Based,Major Cities of Australia,-37.771844,144.961095," $607,327 "
MiCare Home Care services WMR,37 Pearcedale Parade,,BROADMEADOWS,VIC,3047,Northern Metro,Home Care,,,,MiCare Ltd,Community Based,Major Cities of Australia,-37.67973787,144.9173353," $766,231 "
integratedliving Home Care Packages VIC,1818 Sturt Street,,BALLARAT,VIC,3350,Grampians,Home Care,,,,Integratedliving Australia Ltd,Community Based,Inner Regional Australia,-37.545363,143.795562," $1,745,492 "
integratedliving Hume,22 Rowan Street,,WANGARATTA,VIC,3677,Hume,Home Care,,,,Integratedliving Australia Ltd,Community Based,Inner Regional Australia,-36.35277291,146.3234593, n.a.
KinCare Vic Gippsland,"Suite 26, 270 Ferntree Gully Rd",,NOTTING HILL,VIC,3168,Eastern Metro,Home Care,,,,KinCare Health Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.90002475,145.1301906," $383,301 "
KinCare Vic Grampians,"Suite 26, 270 Ferntree Gully Rd",,NOTTING HILL,VIC,3168,Eastern Metro,Home Care,,,,KinCare Health Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.90002475,145.1301906," $116,539 "
annecto HCP Program - Sunshine Coast,161/163 Langtree Ave,,MILDURA,VIC,3500,Loddon-Mallee,Home Care,,,,annecto Inc,Charitable,Outer Regional Australia,-34.1882549,142.1562233," $618,224 "
Latrobe Home Care Packages - Outer East,17 Clarke Street,,LILYDALE,VIC,3140,Eastern Metro,Home Care,,,,Latrobe Community Health Service,State Government,Major Cities of Australia,-37.757004,145.351036," $824,613 "
annecto HCP Program - Southern Region,41 Ringwood Street,,RINGWOOD,VIC,3134,Eastern Metro,Home Care,,,,annecto Inc,Charitable,Major Cities of Australia,-37.812089,145.227127, n.a.
Australian Multicultural Community Services,"Suite 111, 44-56 Hampstead Road",,MAIDSTONE,VIC,3102,Western Metro,Home Care,,,,Australian Multicultural Community Services Inc,Community Based,Major Cities of Australia,-37.77563,144.880483," $1,071,339 "
Home Care Packages Eastern Metro,605 Doncaster Road,,DONCASTER,VIC,3108,Eastern Metro,Home Care,,,,Care Connect Ltd,Charitable,Major Cities of Australia,-37.787312,145.123817," $247,013 "
Prompt Care Victoria - Barwon-South Western,1588 Birregurra Forrest Road,,BARWON DOWNS,VIC,3243,Barwon-South Western,Home Care,,,,The Carers' Phone Pty Ltd,Private Incorporated Body,Inner Regional Australia,-38.46845308,143.7592472," $653,212 "
Prompt Care Victoria - Northern Metro,109 Fergie Street,,FITZROY NORTH,VIC,3068,Northern Metro,Home Care,,,,The Carers' Phone Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.781956,144.984725," $784,810 "
Prompt Care Victoria - Western Metro,109 Fergie Street,,FITZROY NORTH,VIC,3068,Northern Metro,Home Care,,,,The Carers' Phone Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.781956,144.984725," $285,270 "
annecto - HCP Program - EMR,8,41-43 Ringwood Street,RINGWOOD,VIC,3134,Eastern Metro,Home Care,,,,annecto Inc,Charitable,Major Cities of Australia,-37.812089,145.227127, n.a.
annecto HCP Program - Western Metropolitan Region,8 Station Place,,WERRIBEE,VIC,3030,Western Metro,Home Care,,,,annecto Inc,Charitable,Major Cities of Australia,-37.89987706,144.6615719," $1,623,146 "
VincentCare Victoria Consumer Directed Packages - Hume Region,41 Nunn Street,,BENALLA,VIC,3672,Hume,Home Care,,,,VincentCare Victoria,Religious,Inner Regional Australia,-36.54992974,145.9829557," $453,514 "
Jewish Care (Victoria) Inc - Southern Metro,619 St Kilda Road,,MELBOURNE,VIC,3004,Southern Metro,Home Care,,,,Jewish Care (Victoria) Inc,Religious,Major Cities of Australia,-37.85287943,144.9820498," $857,255 "
Jewish Care (Victoria) Inc - Eastern Metro,619 St Kilda Road,,MELBOURNE,VIC,3004,Southern Metro,Home Care,,,,Jewish Care (Victoria) Inc,Religious,Major Cities of Australia,-37.85287943,144.9820498," $615,196 "
Uniting AgeWell Loddon-Mallee,131-149 Condon Street,,BENDIGO,VIC,3550,Loddon-Mallee,Home Care,,,,The Uniting Church in Australia Property Trust (Victoria),Religious,Inner Regional Australia,-36.77363926,144.3064834," $483,796 "
Uniting AgeWell Eastern Metro,17 Jolimont Road,,FOREST HILL,VIC,3131,Eastern Metro,Home Care,,,,The Uniting Church in Australia Property Trust (Victoria),Religious,Major Cities of Australia,-37.84291666,145.172682," $1,166,286 "
Uniting AgeWell Gippsland,3 Church Street,,LEONGATHA,VIC,3953,Gippsland,Home Care,,,,The Uniting Church in Australia Property Trust (Victoria),Religious,Outer Regional Australia,-38.47895867,145.9461418," $394,560 "
Uniting AgeWell Western Metro,319 Geelong Road,,KINGSVILLE,VIC,3012,Western Metro,Home Care,,,,The Uniting Church in Australia Property Trust (Victoria),Religious,Major Cities of Australia,-37.807111,144.87764," $366,675 "
Vision Australia Home Care Eastern Metro,252 Dorset Road,,BORONIA,VIC,3155,Eastern Metro,Home Care,,,,Vision Australia Limited,Charitable,Major Cities of Australia,-37.860531,145.285936," $576,680 "
Japara The Highbury,684 Highbury Road,,GLEN WAVERLEY,VIC,3550,Eastern Metro,Residential,60,,,Japara Aged Care Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.862514,145.171902," $1,894,302 "
Sapphire Care Oakleigh,1055 Centre Road,,OAKLEIGH SOUTH,VIC,3167,Eastern Metro,Residential,54,,,Sapphire Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.92435045,145.086639," $3,432,390 "
Bentleys Aged Care,47 Harpin Street,,EAST BENDIGO,VIC,3550,Loddon-Mallee,Residential,60,,,Violet Town Bush Nursing Centre Inc,Community Based,Inner Regional Australia,-36.75185636,144.305383," $1,395,417 "
Arcare Templestowe,75 King Street,,TEMPLESTOWE,VIC,3106,Eastern Metro,Residential,117,,,Arcare Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.773429,145.153978," $401,584 "
Hepburn Health Service - Home Care Packages,13 Hospital Street,,DAYLESFORD,VIC,3460,Grampians,Home Care,,,,Hepburn Health Service,State Government,Inner Regional Australia,-37.337496,144.145251," $730,647 "
Trinity Manor Greensborough,226-230 Elder Street,,GREENSBOROUGH,VIC,3088,Northern Metro,Residential,112,,,Trinity Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.717336,145.105174," $14,945 "
KooWeeRup Regional Health Service,215-235 Rossiter Road,,KOOWEERUP,VIC,3981,Southern Metro,Home Care,,,,Kooweerup Regional Health Service,State Government,Inner Regional Australia,-38.201562,145.484949," $630,037 "
Regis Home Care Eastern Metro,Milpara 220 Middleborough Road,,BLACKBURN SOUTH,VIC,3130,Eastern Metro,Home Care,,,,Regis Aged Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.838011,145.138082," $559,767 "
Kare Seniors Pty Ltd,8 Costas Drive,,HOPPERS CROSSING,VIC,3029,Western Metro,Home Care,,,,Kare Seniors Pty ltd,Private Incorporated Body,Major Cities of Australia,-37.874408,144.718843," $304,780 "
At Your Service Home Care,25 Wiltshire Street,,SUNSHINE NORTH,VIC,3020,Western Metro,Home Care,,,,Primary Caring Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.775194,144.844029," $300,186 "
Who Cares? We Care! Pty Ltd,"Unit 12, 263-271 Wells Road",,CHELSEA HEIGHTS,VIC,3196,Southern Metro,Home Care,,,,Who Cares? We Care! Pty Ltd,Private Incorporated Body,Major Cities of Australia,-38.044701,145.140805," $55,170 "
Sunbury Community Health Centre,12-28 Macedon Street,,SUNBURY,VIC,3429,Northern Metro,Home Care,,,,Sunbury Community Health Centre,Community Based,Major Cities of Australia,-37.579345,144.733112," $883,251 "
EACH North East Metro Melbourne,232 Plenty Road,,PRESTON,VIC,3072,Northern Metro,Home Care,,,,EACH,State Government,Major Cities of Australia,-37.745826,145.006275," $66,023 "
EACH Southern Metro Melb,38 Bakewell Street,,CRANBOURNE,VIC,3977,Southern Metro,Home Care,,,,EACH,State Government,Major Cities of Australia,-38.111366,145.287265," $56,665 "
Independence Australia Group,Building 1 9 Ashley Street,,WEST FOOTSCRAY,VIC,3012,Western Metro,Home Care,,,,Independence Australia Group,Charitable,Major Cities of Australia,-37.795161,144.861785, n.a.
Tianshi Community Care Trust Trading as TSC Home and Community Care,"Suite 7, 10-12 Prospect Street",,BOX HILL,VIC,3128,Eastern Metro,Home Care,,,,Angels Health Service Australia Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.818109,145.118883," $1,814,382 "
Just-for-u,198 Warrigal Road,,OAKLEIGH,VIC,3166,Eastern Metro,Home Care,,,,JFU Job Seek Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.909353,145.085434," $776,043 "
Gippsland Southern Health Service,66 Koonwarra Road,,LEONGATHA,VIC,3953,Gippsland,Home Care,,,,Gippsland Southern Health Service,State Government,Inner Regional Australia,-38.488141,145.951616," $1,003,796 "
Samarinda Ashburton Aged Services Inc,286 High Street,,ASHBURTON,VIC,3147,Eastern Metro,Home Care,,,,Samarinda Ashburton Aged Services Inc,Community Based,Major Cities of Australia,-37.864373,145.085815," $558,180 "
Westmont Aged Care Services Limited,11 McFarland Road,,WODONGA,VIC,3690,Hume,Home Care,,,,Westmont Aged Care Services Limited,Community Based,Inner Regional Australia,-36.136033,146.869782," $1,905,133 "
Iris Manor,264 High Street,,ASHBURTON,VIC,3147,Eastern Metro,Home Care,,,,Iris Aged Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.863879,145.081758," $258,981 "
FlexiCare,335 Eastbourne Road,,ROSEBUD WEST,VIC,3940,Southern Metro,Home Care,,,,Village Glen Flexicare Pty Ltd,Private Incorporated Body,Major Cities of Australia,-38.374269,144.874892," $1,858,172 "
Red Cliffs and Community Aged Care Services,4-8 Calotis Street,,RED CLIFFS,VIC,3496,Loddon-Mallee,Home Care,,,,Red Cliffs and Community Aged Care Services Inc,Charitable,Outer Regional Australia,-34.314936,142.187641, n.a.
annecto STRC - Loddon Mallee,161-163 Langtree Parade,,MILDURA,VIC,3500,Loddon-Mallee,Short Term Restorative Care (STRC),,,8,annecto Inc,Charitable,Outer Regional Australia,-34.188097,142.156155," $111,766 "
STRC Southern Metro,31 Alma Road,,ST KILDA,VIC,3182,Southern Metro,Short Term Restorative Care (STRC),,,15,Royal District Nursing Service Limited,Charitable,Major Cities of Australia,-37.86086586,144.985818," $794,092 "
Uniting AgeWell Northern Metro,130 Little Collins Street,,MELBOURNE,VIC,3000,Western Metro,Short Term Restorative Care (STRC),,,18,The Uniting Church in Australia Property Trust (Victoria),Religious,Major Cities of Australia,-37.813416,144.969414," $564,386 "
VMCH Community Services Northern Regional,190 Benalla Road,,SHEPPARTON,VIC,3632,Hume,Short Term Restorative Care (STRC),,,11,Villa Maria Catholic Homes Limited,Charitable,Inner Regional Australia,-36.3875,145.427495," $466,425 "
EACH Eastern Metro Short Term Restorative Care Program,2 254 Canterbury Road,,BAYSWATER NORTH,VIC,3153,Eastern Metro,Short Term Restorative Care (STRC),,,10,EACH,State Government,Major Cities of Australia,-37.830045,145.275012," $726,983 "
CCSSCI Chinese Restorative Care,17 Market Street,,BOX HILL,VIC,3128,Eastern Metro,Short Term Restorative Care (STRC),,,8,Chinese Community Social Services Centre Inc,Community Based,Major Cities of Australia,-37.818607,145.121966," $533,500 "
Multicultural Aged Care Services Geelong Inc,100 Weddell Road,,NORTH GEELONG,VIC,3215,Barwon-South Western,Short Term Restorative Care (STRC),,,13,Multicultural Aged Care Services Geelong Inc,Community Based,Major Cities of Australia,-38.12586399,144.347895," $632,310 "
Baptcare - STRC,"Suite 37, 240 Plenty Road",,BUNDOORA,VIC,3083,Northern Metro,Short Term Restorative Care (STRC),,,20,Baptcare Ltd,Religious,Major Cities of Australia,-37.68357729,145.0695029," $800,890 "
Moyne Community Health,30-36 Villiers Street,,PORT FAIRY,VIC,3284,Barwon-South Western,Short Term Restorative Care (STRC),,,8,Moyne Health Services,State Government,Inner Regional Australia,-38.38152,142.227766," $563,974 "
Feros Care STRC VIC Grampians,"Level 27, 101 Collins Street",,MELBOURNE,VIC,3000,Western Metro,Short Term Restorative Care (STRC),,,10,Feros Care,Community Based,Major Cities of Australia,-37.814542,144.9705," $478,357 "
Neerim District Health  Service,29-39 Main Road,,NEERIM SOUTH,VIC,3831,Gippsland,Short Term Restorative Care (STRC),,,5,Neerim District Soldiers' Memorial Hospital Inc,Private Incorporated Body,Inner Regional Australia,-38.02205343,145.9540853," $189,775 "
Prompt Care STRC - WMR,109 Fergie Street,,FITZROY NORTH,VIC,3068,Northern Metro,Short Term Restorative Care (STRC),,,18,The Carers' Phone Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.781956,144.984725," $519,721 "
MHA Care,22 Orr Street,,YARRAWONGA,VIC,3730,Hume,Home Care,,,,MHA Care Limited,Community Based,Inner Regional Australia,-36.012881,146.003887," $1,111,162 "
Great Care Pty Ltd,12 Hibiscus Crescent,,POINT COOK,VIC,3030,Western Metro,Home Care,,,,Great Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.903709,144.749714," $388,046 "
Empower Home Care Pty Ltd,"Unit 6, 146 Epsom Road",,ASCOT VALE,VIC,3032,Western Metro,Home Care,,,,Empower Home Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.777189,144.911196," $652,143 "
Omni-Care Home Care Packages,4 Bruce Street,,PRESTON,VIC,3072,Northern Metro,Home Care,,,,Omni-Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.742356,145.002509," $1,759,677 "
Accommodation and Care Solutions,1 Avoca Street,,HIGHETT,VIC,3190,Southern Metro,Home Care,,,,Accommodation and Care Solutions Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.954534,145.03218," $550,912 "
